State,Vaccinated,None,"Sample
Size",Protestant,"Other
Christian",Catholic,Mormon,Jewish
Alabama,0.34,5.6,925,75.8,6.2,6.6,0.5,0.6
Arizona,0.45,11.5,"1,066",43.1,7.5,25.2,5.4,1.5
Arkansas,0.35,7.9,641,70.1,9.2,7.4,1.2,0.2
California,0.52,14.4,"6,710",39.3,7.3,27,1.8,2.7
Colorado,0.54,14.8,"1,135",47.2,5.9,22.2,1.7,1.7
Connecticut,0.62,10.3,861,31,3.7,45.7,0.3,2.9
Delaware,0.52,10.4,145,51.5,4,28.8,0.6,1.8
District of Columbia,0.54,14.4,121,34.2,8.9,19.6,0,10.9
Florida,0.48,9,"3,188",49.7,6.8,24.5,0.6,4.1
Georgia,0.38,7.3,"1,562",68.3,7.2,10.8,0.4,1.2
Idaho,0.37,16.9,375,34,8.1,14.4,20.6,0
Illinois,0.48,7.4,"2,186",48.3,5.4,31.4,0.3,2.2
Indiana,0.44,9.9,"1,431",59.3,6.3,18.2,0.8,0.7
Iowa,0.49,7.9,790,63.5,5.4,19.5,0.7,0.1
Kansas,0.43,6.5,724,61.9,6.1,20.4,0.5,0.7
Kentucky,0.45,7.9,935,65.4,7.3,14.6,0.8,0.3
Louisiana,0.36,4.5,853,51.9,6.2,32.9,0.1,0.4
Maine,0.63,14.4,499,46.9,2.1,30.5,0.5,1.2
Maryland,0.58,8.5,"1,032",49.3,6.2,25.4,1.1,3.9
Massachusetts,0.63,10.8,"1,714",26.9,2.7,48,0.1,4.2
Michigan,0.48,11,"2,056",52.3,6.4,24.4,0.4,0.7
Minnesota,0.53,7,"1,274",52.6,5.6,28.7,0.4,1.2
Mississippi,0.34,3.5,537,74.9,10.4,6.4,0.9,0.4
Missouri,0.40,8.4,"1,432",59.1,7.7,18.9,0.9,0.7
Montana,0.44,11.2,326,52.9,4.1,23.6,4.3,0
Nebraska,0.49,8.1,468,58,3.1,24.7,2,0.7
Nevada,0.43,12.7,465,34.7,7.2,26.4,9.1,2.5
New Hampshire,0.58,12.9,395,37,3.8,38.2,0.2,2.4
New Jersey,0.57,7.3,"1,930",30,4.6,45.9,0.3,5.6
New Mexico,0.56,9.2,455,46.1,5,31.6,2.8,0.9
New York State,0.56,9.2,"4,193",33.1,4.6,39.5,0.2,6.7
North Carolina,0.43,7.3,"1,810",69.9,8.4,8.5,0.6,0.4
North Dakota,0.40,5,171,57.2,5.2,28,1.2,0
Ohio,0.46,9.7,"2,611",52.5,7,24.8,0.4,0.7
Oklahoma,0.40,5.7,792,67.4,8.9,11.3,1.5,0.1
Oregon,0.55,17.9,932,49.4,8,15.9,2.6,0.5
Pennsylvania,0.51,7.8,"3,716",50.5,4.4,30.1,0.3,1.9
Rhode Island,0.61,6.7,266,31.6,4.2,51.5,0,2.1
South Carolina,0.40,6.1,846,70.9,8.7,8.4,0.6,0.7
South Dakota,0.46,6.7,172,58.8,6.3,23.9,0,0
Tennessee,0.38,5.2,"1,157",72.1,9.1,7.7,0.4,0.8
Texas,0.43,6.4,"3,789",59.7,7.3,20.5,0.9,0.7
Utah,0.44,7.2,541,12.3,3.6,7.2,66.5,0.1
Vermont,0.67,8.6,224,45.8,6.2,31.5,0.3,2.9
Virginia,0.54,7.5,"1,588",61.3,5.6,18.1,0.8,1.2
Washington,0.57,15.6,"1,576",48.6,8.2,17.6,3.7,0.7
West Virginia,0.39,6.4,483,75.4,5.6,7,0.4,0.2
Wisconsin,0.51,9.2,"1,485",45.6,4.6,34.4,0.7,0.5
Wyoming,0.36,9.2,161,56.3,5.5,15.8,9.4,0
